Financeiro - Controladoria Financeira- Guia Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;3.471,30;211201/Obrig Imobilizado;286079,66;
 ; ; ; ; ; ; ;112501/Cheque AV;23.703,00;211301/Salários e Ordenado;513267,23;
 ; ; ; ; ; ; ;112502/Cheque Pre;77.908,87;211302/Férias a Pagar;78885,84;
 ; ; ; ; ; ; ;112503/Cheque devolvido;5.234,57;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;50.143,55;211304/Verbas Resc a Pagar;37746,04;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;33.493,37;211305/Sindicatos a Pagar;216,47;
 ; ; ; ; ; ; ;112703/Devolução RCM;51.524,33;211306/Pensão Alimentícia;2519,95;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;3,20;211307/Adiant a Func;249897,39;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;23.330,49;211309/Adto 13º Salário;1576,52;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;83895,35;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;386,50;211501/ICMS a Recolher;208123,34;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;26.976,34;211502/PIS a Recolher;25767,76;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;118734,93;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;384892,12;
 ; ; ; ; ; ; ;112801/Adto Funcionários;0,00;211505/FGTS a Pagar;86452,08;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;42640,81;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;7.494,44;211507/CSLL a Pagar;16070,69;
 ; ; ; ; ; ; ;112949/Outras CR;140,61;211508/IPTU a Pagar;0;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;0;
 ; ; ; ; ; ; ;112953/Adto Clientes;24.647,01;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;8033,48;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;8842,17;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;0;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;5253,87;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,00;211602/IRRF a Recolher;10282,71;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;28.427,94;211603/ISSQN a Recolher;622,72;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;2564,38;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;0,00;211605/INSS Retido a Recolher;3076,89;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;6.676,69;211901/Devolução de Vendas a Pagar;52450,79;
 ; ; ; ; ; ; ;313101/Juros Recebidos;2.104,95;211902/Contra Vale a Pagar;278;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;5.035,82;211903/Adiant. de Clientes;761,44;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;2.583,44;211905/Créd Trocas/Boni Inden;1645,98;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;30,81;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,00;211911/Corresp. Bancário;35624,8;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211913/Alugueis a Pagar;346167,97;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;38.013,64;211914/Convênios Terceiros - Folha de Pagamento;56312,26;
 ; ; ; ; ; ; ;313208/Ganho Recarga;265,85;211915/Vale - Cesta Alimentação;105,29;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;10897;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0,00;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;1.096,86;211920/Adiant. a Fornecedor;31832,81;
 ; ; ; ; ; ; ;333101/Juros Pagos;0,00;211921/Bonificações a Apropriar;12741,75;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;0,00;211925/Acordos Comerciais a Apropriar;38013,64;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;0,00;211930/Depositos Judiciais de Terceiros a pagar;373,55;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;0,00;211940/Distrib de Lucro Sócios;19610,85;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;211945/Cheq Pré P/ Pagam;52469,73;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;211946/Outras Contas Pagar;0;
 ; ; ; ; ; ; ; ; ;211948/Outras Contas a pagar - I;11305,95;
 ; ; ; ; ; ; ; ; ;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ; ; ;214303/Banco Aracredi;0;
 ; ; ; ; ; ; ; ; ;214305/Banco Safra;84598,18;
 ; ; ; ; ; ; ; ; ;312107/Chargeback;0;
 ; ; ; ; ; ; ; ; ;313102/Descontos Obtidos;0;
 ; ; ; ; ; ; ; ; ;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ; ; ;321255/( - ) Bonificações;15,83;
 ; ; ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ; ; ;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ; ; ;332615/Taxas Ifood;1556,18;
 ; ; ; ; ; ; ; ; ;332707/Doações;3098,1;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;4,48;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;1317,45;
 ; ; ; ; ; ; ; ; ;333107/IOF;802,45;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;2686,85;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;130683,49;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;6,01;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;3708,48;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;6676,69;
 ; ; ; ; ; ; ; ; ;333120/Tarifa  Alelo Ali;53,1;
 ; ; ; ; ; ; ; ; ;333124/Tarifa - Sodexo Alim;700,82;
 ; ; ; ; ; ; ; ; ;333125/Tarifa - Ticket Alim;2778,17;
 ; ; ; ; ; ; ; ; ;333127/ Tarifa Debito - Alelo Refeição;0;
 ; ; ; ; ; ; ; ; ;333128/Tarifa- VR Benef;908,81;
 ; ; ; ; ; ; ; ; ;333129/Tarifa - Sodexo Ref;37,96;
 ; ; ; ; ; ; ; ; ;333130/Tarifa- Sodexo Premium;0;
 ; ; ; ; ; ; ; ; ;333131/Tarifa - AMEX;35,5;
 ; ; ; ; ; ; ; ; ;333133/Tarifa Credito - Cabal;0;
 ; ; ; ; ; ; ; ; ;333134/ Tarifa GoodCard;4,08;
 ; ; ; ; ; ; ; ; ;333135/Tarifa Cred System;7;
 ; ; ; ; ; ; ; ; ;333136/Tarifa - ECX Card;0;
 ; ; ; ; ; ; ; ; ;333139/Tarifa- Mastercard;0;
 ; ; ; ; ; ; ; ; ;333141/Tarifa - Vale Card;714,46;
 ; ; ; ; ; ; ; ; ;333143/Tarifa- Policard;0;
 ; ; ; ; ; ; ; ; ;333145/Tarifa -Tricard Hibrido;0;
 ; ; ; ; ; ; ; ; ;333148/Tarifa -UP Brasil;772,42;
 ; ; ; ; ; ; ; ; ;333149/Anuidade C Cred;274,5;
 ; ; ; ; ; ; ; ; ;333153/Tarifa - Sodexo Gift;21,8;
 ; ; ; ; ; ; ; ; ;333154/Tarifa T.r.;798,54;
 ; ; ; ; ; ; ; ; ;333155/Tarifa Ticket Flex;867,11;
 ; ; ; ; ; ; ; ; ;333156/Tarifa - Ben Visa;0;
 ; ; ; ; ; ; ; ; ;333157/Tarifa - PIX;0;
 ; ; ; ; ; ; ; ; ;333158/Tarifa -Green Card Ref;0;
 ; ; ; ; ; ; ; ; ;333160/Tarifa - Green Card - Alimentação;9;
 ; ; ; ; ; ; ; ; ;333206/Perdas c/ Créditos Incobráveis;0;
 ; ; ; ; ; ; ; ; ;333211/Falta de Cx ñ Cobrada;0;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;365587,92;
 ; ; ; ; ; ; ; ; ; ;14368589,13;
 ; ; ; ; ; ; ; ; ; ;181873,23;
 ; ; ; ; ; ; ; ; ; ;11447,34;
 ; ; ; ; ; ; ; ; ; ;14916050,28;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
