Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211604/Pis/Cofins/Csll a Recolher;3043,51;
 ; ; ; ; ; ; ;112953/Adto Clientes;19.564,10;211605/INSS Retido a Recolher;2880,42;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211901/Devolução de Vendas a Pagar;30312,32;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211902/Contra Vale a Pagar;426,6;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211903/Adiant. de Clientes;76656,08;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211905/Créd Trocas/Boni Inden;0;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;115.098,75;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;33.292,60;211911/Corresp. Bancário;37489,81;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211913/Alugueis a Pagar;976971,96;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;0,00;211914/Convênios Terceiros - Folha de Pagamento;48061,58;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;4.017,95;211915/Vale - Cesta Alimentação;421,16;
 ; ; ; ; ; ; ;313101/Juros Recebidos;636,80;211916/Repasse Recarga de celular;13219;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;3.843,80;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;136,22;211920/Adiant. a Fornecedor;23486,77;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;31,59;211921/Bonificações a Apropriar;116681,13;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,00;211925/Acordos Comerciais a Apropriar;322467,25;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211930/Depositos Judiciais de Terceiros a pagar;1018,94;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;207.368,50;211940/Distrib de Lucro Sócios;26919,24;
 ; ; ; ; ; ; ;313208/Ganho Recarga;336,16;211945/Cheq Pré P/ Pagam;41777,78;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211946/Outras Contas Pagar;499,46;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0,11;211948/Outras Contas a pagar - I;20759,6;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;1.835,72;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ;333101/Juros Pagos;0,40;214303/Banco Aracredi;0;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;0,00;214305/Banco Safra;84491,89;
